Run,BioProject
ERR2382688,PRJEB25491
ERR2382689,PRJEB25491
ERR2382690,PRJEB25491
ERR2382699,PRJEB25491
ERR2382700,PRJEB25491
ERR2382703,PRJEB25491
ERR2382704,PRJEB25491
ERR2603016,PRJEB26593
ERR2603017,PRJEB26593
ERR2603018,PRJEB26593
ERR2603019,PRJEB26593
ERR2603020,PRJEB26593
ERR2603021,PRJEB26593
ERR2603022,PRJEB26593
ERR2603023,PRJEB26593
ERR2603024,PRJEB26593
ERR2603025,PRJEB26593
ERR2603026,PRJEB26593
ERR2603027,PRJEB26593
ERR2660262,PRJEB27418
ERR2660263,PRJEB27418
ERR2660266,PRJEB27418
ERR2660267,PRJEB27418
ERR2681846,PRJEB27604
ERR2681847,PRJEB27604
ERR2681848,PRJEB27604
ERR2681849,PRJEB27604
ERR2681850,PRJEB27604
ERR2681851,PRJEB27604
ERR2736130,PRJEB28203
ERR2736131,PRJEB28203
ERR2736132,PRJEB28203
ERR2736133,PRJEB28203
ERR2736134,PRJEB28203
ERR2812328,PRJEB28810
ERR2812329,PRJEB28810
ERR2812330,PRJEB28810
ERR2812334,PRJEB28810
ERR2812335,PRJEB28810
ERR2812336,PRJEB28810
ERR2812340,PRJEB28810
ERR2812341,PRJEB28810
ERR2812342,PRJEB28810
ERR2812346,PRJEB28810
ERR2812347,PRJEB28810
ERR2812348,PRJEB28810
ERR2812352,PRJEB28810
